report_id,occur_location,shift_type,location_type,crime_description,occur_neighborhood,occur_latitude,occur_longitude,occur_time
172560712,3675 ZIP INDUSTRIAL BLVD SE,Day Watch,13,ROBBERY-PEDESTRIAN,Blair Villa/Poole Creek,33.65697,-84.38717,2017-09-13 06:30:00
172561472,2080 LOUISE PL NW,Day Watch,20,ROBBERY-PEDESTRIAN,Grove Park,33.77756,-84.45557,2017-09-13 13:30:00
172562244,121 CLEVELAND AVE,Evening Watch,99,ROBBERY-PEDESTRIAN,Browns Mill Park,33.68119,-84.39236,2017-09-13 18:33:00
172561360,31 WAKEFIELD DR NE,Day Watch,13,LARCENY-NON VEHICLE,Brookwood Hills,33.80653,-84.39066,2017-09-13 12:43:00
172562309,512 KELLY ST SE,Evening Watch,20,LARCENY-NON VEHICLE,Grant Park,33.740790000000004,-84.38034,2017-09-13 07:00:00
172562170,683 PEACHTREE ST NE @COX CARLTON HOTEL,Day Watch,14,LARCENY-NON VEHICLE,Midtown,33.77325,-84.38449,2017-09-13 08:06:00
172562423,1112 NORTHSIDE DR NW,Day Watch,21,LARCENY-NON VEHICLE,Home Park,33.785090000000004,-84.40756,2017-09-13 11:30:00
172562499,1275 CAROLINE ST NE @TARGET - CAROLINE,Evening Watch,12,LARCENY-NON VEHICLE,Edgewood,33.75674,-84.34619,2017-09-13 19:00:00
172562130,11 KIRKWOOD AVE,Evening Watch,13,LARCENY-NON VEHICLE,Kirkwood,33.75442,-84.32099000000001,2017-09-13 16:00:00
172560321,690 ERIN AVE SW,Morning Watch,20,LARCENY-FROM VEHICLE,Capitol View,33.71929,-84.41022,2017-09-13 02:40:00
172561009,960 CONSTITUTION RD SE,Day Watch,26,LARCENY-FROM VEHICLE,,33.81711,-84.39256,2017-09-13 10:00:00
172561537,502 PRYOR ST SW,Evening Watch,18,LARCENY-FROM VEHICLE,Mechanicsville,33.74114,-84.39442,2017-09-13 14:00:00
172561573,1280 CAROLINE ST NE,Evening Watch,12,LARCENY-FROM VEHICLE,Edgewood,33.759570000000004,-84.34602,2017-09-13 10:00:00
172562782,68 GLENROSE CIR SW,Morning Watch,13,LARCENY-FROM VEHICLE,Glenrose Heights,33.67009,-84.39093000000001,2017-09-13 08:00:00
172560201,390 STOVALL ST SE,Morning Watch,20,ROBBERY-PEDESTRIAN,Ormewood Park,33.7436,-84.35429,2017-09-13 01:40:00
172561469,717 LEET ST SW,Day Watch,13,LARCENY-NON VEHICLE,West End,33.734629999999996,-84.41436,2017-09-13 13:00:00
172561893,660 BOULEVARD NE,Evening Watch,21,LARCENY-NON VEHICLE,Old Fourth Ward,33.77272,-84.37165999999999,2017-09-13 16:39:00
172562699,1723 LAKEWOOD AVE SE,Morning Watch,13,LARCENY-NON VEHICLE,Lakewood Heights,33.70678,-84.38031,2017-09-13 22:20:00
172560076,2275 CHESHIRE BRIDGE RD NE,Morning Watch,24,LARCENY-NON VEHICLE,Lindridge/Martin Manor,33.8171,-84.35200999999999,2017-09-13 00:35:00
172560463,400 EDGEWOOD AVE NE,Morning Watch,23,LARCENY-NON VEHICLE,Sweet Auburn,33.75464,-84.37465,2017-09-13 04:40:00
172561605,1925 PEACHTREE RD NE,Evening Watch,24,LARCENY-NON VEHICLE,Brookwood Hills,33.80733,-84.39345,2017-09-13 14:00:00
172561641,2525 PIEDMONT RD NE @HOME DEPOT,Evening Watch,8,LARCENY-NON VEHICLE,Lindbergh/Morosgo,33.824,-84.36521,2017-09-13 15:05:00
172561734,2685 METROPOLITAN PKWY SW,Evening Watch,24,LARCENY-NON VEHICLE,Perkerson,33.68274,-84.40902,2017-09-13 15:30:00
172562045,265 18TH ST NW,Evening Watch,8,LARCENY-NON VEHICLE,Atlantic Station,33.79275,-84.39694,2017-09-13 17:15:00
172562428,3500 PEACHTREE RD NE,Evening Watch,8,LARCENY-NON VEHICLE,North Buckhead,33.85248,-84.36058,2017-09-13 19:50:00
172560472,3460 KINGSBORO RD NE,Morning Watch,26,LARCENY-FROM VEHICLE,Buckhead Heights,33.8512,-84.35750999999999,2017-09-13 04:45:00
172560636,3668 RAMSEY CLOSE SW,Day Watch,,LARCENY-FROM VEHICLE,Princeton Lakes,33.66373,-84.51184,2017-09-13 02:00:00
172561302,3500 JONESBORO RD SE,Day Watch,17,LARCENY-FROM VEHICLE,South River Gardens,33.65951,-84.37095,2017-09-13 10:35:00
172561520,2636 MARTIN L KING JR DR SW;,Day Watch,18,LARCENY-FROM VEHICLE,Harland Terrace,33.75277,-84.47429,2017-09-13 12:20:00
172562006,123 MARIETTA ST NW,Day Watch,18,LARCENY-FROM VEHICLE,Downtown,33.757670000000005,-84.39265999999999,2017-09-13 06:00:00
172562064,587 VIRGINIA AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,Midtown,33.78063,-84.36828,2017-09-13 17:20:00
172562171,2126 OLD GEORGIAN TER NW,Morning Watch,20,LARCENY-FROM VEHICLE,Whittier Mill Village,33.81381,-84.48099,2017-09-13 04:30:00
172562186,1319 CAMPBELLTON RD SW,Evening Watch,18,LARCENY-FROM VEHICLE,Venetian Hills,33.715959999999995,-84.43145,2017-09-13 07:30:00
172562195,137 BOULEVARD NE,Evening Watch,18,LARCENY-FROM VEHICLE,Old Fourth Ward,33.757940000000005,-84.37167,2017-09-13 09:15:00
172562260,3711 LARGO LN SW,Evening Watch,13,LARCENY-FROM VEHICLE,Tampa Park,33.67991,-84.51006,2017-09-13 18:30:00
172562305,2333 TIGER FLOWERS DR NW,Evening Watch,20,LARCENY-FROM VEHICLE,Dixie Hills,33.76077,-84.46406999999999,2017-09-13 08:00:00
172562431,118 POPLAR ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,Downtown,33.75743,-84.39090999999999,2017-09-13 17:43:00
172562491,1903 DREW DR NW,Evening Watch,26,LARCENY-FROM VEHICLE,West Highlands,33.79335,-84.45089,2017-09-13 20:31:00
172562597,1029 EDGEWOOD AVE NE,Evening Watch,13,LARCENY-FROM VEHICLE,Inman Park,33.75666,-84.35499,2017-09-13 20:00:00
172562764,333 NELSON ST SW,Evening Watch,18,LARCENY-FROM VEHICLE,Castleberry Hill,33.75158,-84.39883,2017-09-13 21:00:00
172570029,677 ANTONE ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,Berkeley Park,33.79826,-84.4102,2017-09-13 19:00:00
172570073,592 JEFFERSON CHASE ST SE,Morning Watch,,LARCENY-FROM VEHICLE,Glenrose Heights,33.666940000000004,-84.38248,2017-09-13 22:30:00
172570220,400 W PEACHTREE ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,Downtown,33.76614,-84.3876,2017-09-13 13:50:00
172570422,761 SIDNEY MARCUS BLVD NE ,Morning Watch,23,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,33.82545,-84.36218000000001,2017-09-14 03:43:00
172570490,585 MCWILLIAMS RD SE,Morning Watch,26,LARCENY-FROM VEHICLE,Browns Mill Park,33.68838,-84.37006,2017-09-14 04:30:00
172570649,2144 PEACHTREE RD NW,Day Watch,18,LARCENY-FROM VEHICLE,,33.8135,-84.39376999999999,2017-09-13 17:45:00
172570650,1414 EUCLID AVE,Unknown,13,LARCENY-FROM VEHICLE,Candler Park,33.7712,-84.34248000000001,2017-09-13 19:00:00
172570715,191 SOUTH AVE SE,Day Watch,20,LARCENY-FROM VEHICLE,Summerhill,33.73226,-84.38189,2017-09-13 21:00:00
172570801,1731 COMMERCE DR NW,Day Watch,18,LARCENY-FROM VEHICLE,Berkeley Park,33.80131,-84.41031,2017-09-14 07:30:00
172570824,1903 DREW DR NW,Day Watch,18,LARCENY-FROM VEHICLE,West Highlands,33.79335,-84.45089,2017-09-13 18:00:00
172570866,3548 OAKSHIRE WAY SE,Day Watch,18,LARCENY-FROM VEHICLE,South River Gardens,33.655809999999995,-84.35186999999999,2017-09-14 09:02:00
172570987,638 ELOISE ST SE,Morning Watch,18,LARCENY-FROM VEHICLE,Grant Park,33.736090000000004,-84.36263000000001,2017-09-14 04:45:00
172571034,845 3RD ST NW,Day Watch,13,LARCENY-FROM VEHICLE,Marietta Street Artery,33.77811,-84.4079,2017-09-13 22:00:00
172571116,2912 NORMANDY DR NW,Day Watch,20,LARCENY-FROM VEHICLE,Wyngate,33.83416,-84.40239,2017-09-14 10:55:00
172571150,2794 NORMANDY DR NW,Day Watch,13,LARCENY-FROM VEHICLE,Wyngate,33.83106,-84.40297,2017-09-14 08:00:00
172571392,2324 CASCADE RD SW,Day Watch,18,LARCENY-FROM VEHICLE,Adams Park,33.72186,-84.46462,2017-09-14 12:40:00
172571440,3539 NORTHSIDE PKWY NW @HOUSTONS,Day Watch,18,LARCENY-FROM VEHICLE,Randall Mill,33.85114,-84.43035,2017-09-14 11:50:00
172571462,928 N HIGHLAND AVE NE,Day Watch,26,LARCENY-FROM VEHICLE,Virginia Highland,33.77988,-84.35375,2017-09-14 07:00:00
172571883,187 CLIFTON ST SE,Evening Watch,13,LARCENY-FROM VEHICLE,Kirkwood,33.74811,-84.3321,2017-09-13 16:00:00
172572168,387 HILL ST SE,Evening Watch,18,LARCENY-FROM VEHICLE,Grant Park,33.74436,-84.37974,2017-09-14 12:00:00
172572173,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,Evening Watch,18,LARCENY-FROM VEHICLE,Greenbriar,33.68845,-84.49328,2017-09-14 17:00:00
172572223,470 CENTENNIAL OLYMPIC P DR NW,Evening Watch,18,LARCENY-FROM VEHICLE,Downtown,33.767070000000004,-84.39218000000001,2017-09-14 17:00:00
172572397,575 FAIR DR SW,Evening Watch,18,LARCENY-FROM VEHICLE,Sylvan Hills,33.703829999999996,-84.40711,2017-09-14 19:30:00
172572554,845 3RD ST NW,Evening Watch,13,LARCENY-FROM VEHICLE,Marietta Street Artery,33.77755,-84.40751999999999,2017-09-13 19:00:00
172572693,385 PINE ST NE,Morning Watch,13,LARCENY-FROM VEHICLE,Old Fourth Ward,33.7674,-84.37493,2017-09-14 21:00:00
172572717,1907 METROPOLITAN PKWY SW,Morning Watch,5,LARCENY-FROM VEHICLE,Sylvan Hills,33.70218,-84.40817,2017-09-14 15:00:00
172572827,2311 CASCADE RD SW,Morning Watch,18,LARCENY-FROM VEHICLE,Cascade Heights,33.72231,-84.46441999999999,2017-09-14 23:25:00
172572125,595 PIEDMONT AVE NE @PUBLIX - PIEDMONT,Evening Watch,,LARCENY-NON VEHICLE,Old Fourth Ward,33.77067,-84.38023000000001,2017-09-14 17:35:00
172572197,455 NORTH AVE NE,Evening Watch,8,LARCENY-NON VEHICLE,Old Fourth Ward,33.77066,-84.37225,2017-09-14 18:02:00
172570189,1217 METROPOLITAN PKWY SW,Morning Watch,18,LARCENY-NON VEHICLE,Adair Park,33.721740000000004,-84.40839,2017-09-14 01:05:00
172572068,464 JAMES P. BRAWLEY DR NW,Evening Watch,99,LARCENY-NON VEHICLE,English Avenue,33.76733,-84.41259000000001,2017-09-14 16:30:00
172570698,10 PARK PL NE,Evening Watch,5,LARCENY-NON VEHICLE,Downtown,33.75492,-84.38842,2017-09-13 17:30:00
172572153,1700 MONROE DR NE,Evening Watch,12,ROBBERY-COMMERCIAL,Piedmont Heights,33.80052,-84.37307,2017-09-14 17:40:00
172570190,415 FAIRBURN RD SW,Morning Watch,18,LARCENY-FROM VEHICLE,Fairburn Mays,33.74349,-84.50968,2017-09-13 21:30:00
172570197,30 CENTENNIAL OLYMPIC P DR NW,Evening Watch,13,LARCENY-FROM VEHICLE,Downtown,33.755720000000004,-84.398,2017-09-13 19:00:00
172570944,385 UNIVERSITY AVE SW,Day Watch,23,LARCENY-FROM VEHICLE,Pittsburgh,33.72234,-84.40061,2017-09-14 01:00:00
172571741,248 MAYNARD TER SE,Evening Watch,13,LARCENY-FROM VEHICLE,East Atlanta,33.74407,-84.33463,2017-09-13 20:30:00
172572637,68 HONOUR CIR NW,Morning Watch,26,LARCENY-FROM VEHICLE,Tuxedo Park,33.85259,-84.38641,2017-09-13 21:00:00
172570753,35 FORSYTH ST SW,Day Watch,21,LARCENY-NON VEHICLE,Downtown,33.75343,-84.39312,2017-09-14 08:09:00
172572251,1771 CENTRAL VILLA DR SW,Evening Watch,,LARCENY-NON VEHICLE,Adams Park,33.7075,-84.45605,2017-09-14 18:00:00
172572474,727 JUNIPER ST NE,Evening Watch,18,LARCENY-NON VEHICLE,Midtown,33.77448,-84.38263,2017-09-14 19:30:00
172572713,1175 MORELAND AVE SE,Morning Watch,,LARCENY-NON VEHICLE,Woodland Hills,33.722409999999996,-84.34971999999999,2017-09-14 09:20:00
172571047,1135 PEACHTREE BATTLE AVE NW,Day Watch,20,LARCENY-NON VEHICLE,Wesley Battle,33.82631,-84.425,2017-09-14 10:25:00
172571132,391 17TH ST NW,Morning Watch,26,LARCENY-NON VEHICLE,Atlantic Station,33.79146,-84.40053,2017-09-14 02:10:00
172571698,3390 FAIRBURN RD SW,Evening Watch,26,LARCENY-NON VEHICLE,Ben Hill,33.6639,-84.52377,2017-09-14 15:15:00
172572790,232 FORSYTH ST SW,Morning Watch,1,LARCENY-NON VEHICLE,Downtown,33.74852,-84.39636,2017-09-14 23:00:00
172571935,337 MORELAND AVE NE,Unknown,18,AUTO THEFT,Ormewood Park,33.744170000000004,-84.34933000000001,2017-09-14 14:54:00
172570580,72 PINE ST NE,Morning Watch,99,ROBBERY-PEDESTRIAN,Downtown,33.76753,-84.38490999999999,2017-09-14 03:00:00
172570170,432 RICHARDS ST NW,Morning Watch,13,ROBBERY-PEDESTRIAN,Home Park,33.78358,-84.40122,2017-09-14 00:50:00
172572849,893 PEACHTREE ST NE @BULLDOG,Morning Watch,13,ROBBERY-PEDESTRIAN,Midtown,33.7794,-84.38580999999999,2017-09-14 23:30:00
172570756,2138 PRYOR RD SW,Day Watch,20,AUTO THEFT,Polar Rock,33.69617,-84.39891,2017-09-13 21:00:00
172570945,298 DEERING RD NW,Morning Watch,18,AUTO THEFT,Loring Heights,33.795429999999996,-84.39851999999999,2017-09-13 21:00:00
172572719,1465 CHATTAHOOCHEE AVE NW;,Morning Watch,,AUTO THEFT,Underwood Hills,33.80787,-84.43494,2017-09-14 22:36:00
172570078,2524 MARTIN L KING JR DR SW,Morning Watch,18,AUTO THEFT,Harland Terrace,33.75285,-84.47033,2017-09-13 23:45:00
172570395,65 MELDON AVE SE,Morning Watch,20,AUTO THEFT,South Atlanta,33.7113,-84.38593,2017-09-14 01:00:00
172570706,1783 JOHNSON RD NW,Day Watch,26,AUTO THEFT,Rockdale,33.785470000000004,-84.44593,2017-09-13 20:30:00
172570174,850 CASCADE AVE SW @THIRD CHURCH OF CHR,Morning Watch,13,AGG ASSAULT,Cascade Avenue/Road,33.731790000000004,-84.43843000000001,2017-09-14 01:00:00
172572837,1082 ARLINGTON AVE SW,Morning Watch,20,AGG ASSAULT,Oakland City,33.72312,-84.42361,2017-09-14 23:15:00
172572614,254 PEACHTREE ST SW,Evening Watch,13,AGG ASSAULT,Downtown,33.74729,-84.39543,2017-09-14 21:18:00
172570642,1301 PEACHTREE ST NE,Day Watch,26,BURGLARY-NONRES,Midtown,33.7901,-84.3843,2017-09-13 23:10:00
172570871,273 12TH ST NE,Day Watch,26,BURGLARY-NONRES,Midtown,33.78315,-84.37907,2017-09-14 01:36:00
172570730,511 HILLSIDE VILLAGE DR SE,Day Watch,26,BURGLARY-RESIDENCE,The Villages at East Lake,33.74093,-84.31588,2017-09-14 08:00:00
172570342,515 NORFOLK ST NW,Morning Watch,20,BURGLARY-RESIDENCE,Bankhead,33.7688,-84.41845,2017-09-14 02:00:00
172571928,1196 WOODLAND AVE NE,Evening Watch,26,BURGLARY-RESIDENCE,Lindridge/Martin Manor,33.81494,-84.34902,2017-09-14 07:00:00
172572253,406 ALLENDALE DR SE,Evening Watch,20,BURGLARY-RESIDENCE,East Lake,33.74153,-84.29484000000001,2017-09-14 11:00:00
172580040,921 WESTMORELAND CIR NW,Morning Watch,26,BURGLARY-RESIDENCE,West Highlands,33.789559999999994,-84.44919,2017-09-15 00:00:00
172580651,2550 BROWNS MILL RD SE,Day Watch,20,BURGLARY-RESIDENCE,Rosedale Heights,33.683820000000004,-84.38053000000001,2017-09-14 21:00:00
172581524,1935 ALISON CT SW,Day Watch,26,BURGLARY-RESIDENCE,Fort Valley,33.70055,-84.45149,2017-09-15 05:45:00
172582686,2524 MARTIN L KING JR DR SW,Unknown,20,BURGLARY-RESIDENCE,Harland Terrace,33.75285,-84.47033,2017-09-15 20:55:00
172581554,178 HYACINTH AVE NW,Evening Watch,20,BURGLARY-RESIDENCE,Dixie Hills,33.75904,-84.46146999999999,2017-09-15 14:00:00
172580736,3684 CAMPBELLTON RD SW,Morning Watch,99,BURGLARY-NONRES,,33.68974,-84.50905999999999,2017-09-14 19:00:00
172580613,3010 WATERS RD,Day Watch,20,BURGLARY-RESIDENCE,Glenrose Heights,33.67261,-84.39571,2017-09-15 01:00:00
172580533,1684 BROWNING ST NW,Day Watch,20,AGG ASSAULT,Mozley Park,33.75229,-84.44221,2017-09-15 05:30:00
172582559,1540 MARY GEORGE AVE NW,Morning Watch,20,AGG ASSAULT,Carver Hills,33.80125,-84.4598,2017-09-15 22:00:00
172580277,3450 FORREST PARK RD SE,Unknown,,AUTO THEFT,South River Gardens,33.66061,-84.35549,2017-09-15 02:27:00
172581521,2632 PEACHTREE RD NW,Evening Watch,26,AUTO THEFT,Peachtree Heights West,33.82639,-84.38756,2017-09-14 23:00:00
172582045,2285 PEACHTREE RD NE @SHANGHAI RESTAURANT,Evening Watch,18,AUTO THEFT,,33.81637,-84.38954,2017-09-15 18:00:00
172582072,2405 FAIRBURN RD SW @BEN HILL PARK,Evening Watch,31,AUTO THEFT,,33.6889,-84.51290999999999,2017-09-15 18:17:00
172582389,50 MOUNT ZION RD SW,Evening Watch,18,AUTO THEFT,Glenrose Heights,33.67273,-84.39067,2017-09-15 20:30:00
172580425,151 CLEVELAND AVE SW,Morning Watch,23,ROBBERY-PEDESTRIAN,Browns Mill Park,33.68148,-84.39421999999999,2017-09-15 04:00:00
172581429,390 STOVALL ST SE,Day Watch,18,ROBBERY-PEDESTRIAN,Ormewood Park,33.7436,-84.35429,2017-09-15 13:20:00
172582476,949 WASHINGTON ST SW,Evening Watch,18,ROBBERY-PEDESTRIAN,Peoplestown,33.72894,-84.39133000000001,2017-09-15 21:30:00
172582565,3901 CAMPBELLTON RD SW,Evening Watch,26,ROBBERY-PEDESTRIAN,Kings Forest,33.69486,-84.5152,2017-09-15 22:10:00
172582761,330 TRENHOLM ST SW,Morning Watch,13,ROBBERY-PEDESTRIAN,Castleberry Hill,33.74579,-84.40387,2017-09-15 23:50:00
172581121,1445 MACKLONE ST NE,Day Watch,20,LARCENY-NON VEHICLE,Edgewood,33.75584,-84.34038000000001,2017-09-15 11:00:00
172581528,768 ELOISE CT SE,Evening Watch,26,LARCENY-NON VEHICLE,Grant Park,33.73488,-84.36219,2017-09-15 12:04:00
172582265,931 MONROE DR,Evening Watch,12,LARCENY-NON VEHICLE,Midtown,33.779090000000004,-84.36717,2017-09-15 19:15:00
172582272,2780 3RD AVE SW,Evening Watch,20,LARCENY-NON VEHICLE,Hammond Park,33.67913,-84.40151,2017-09-15 11:06:00
172581990,1579 MONROE DR NE @ANSLEY MALL II,Evening Watch,21,LARCENY-NON VEHICLE,Piedmont Heights,33.798190000000005,-84.36974000000001,2017-09-15 17:15:00
172582188,255 COURTLAND ST NE @HILTON HOTEL,Evening Watch,14,LARCENY-NON VEHICLE,Downtown,33.76157,-84.38314,2017-09-15 17:00:00
172582517,816 N HIGHLAND AVE NE,Evening Watch,21,LARCENY-NON VEHICLE,Virginia Highland,33.77683,-84.35269,2017-09-15 21:50:00
172580887,55 BRADLEY ST SE,Evening Watch,26,LARCENY-NON VEHICLE,Sweet Auburn,33.755520000000004,-84.37796999999999,2017-09-15 04:00:00
172581632,1875 PEACHTREE RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,Brookwood Hills,33.806259999999995,-84.39334000000001,2017-09-15 09:45:00
172581108,1220 CAROLINE ST NE,Day Watch,24,LARCENY-NON VEHICLE,Edgewood,33.75862,-84.34885,2017-09-14 19:30:00
172581187,1275 CAROLINE ST NE,Day Watch,8,LARCENY-NON VEHICLE,Edgewood,33.75674,-84.34619,2017-09-15 11:11:00
172581373,2319 CHESHIRE BRIDGE RD NE,Unknown,23,LARCENY-NON VEHICLE,Lindridge/Martin Manor,33.81801,-84.35136,2017-09-15 13:00:00
172581580,1275 CAROLINE ST NE @TARGET - CAROLINE,Evening Watch,12,LARCENY-NON VEHICLE,Edgewood,33.75674,-84.34619,2017-09-15 14:40:00
172581821,1455 MORELAND AVE SE,Evening Watch,9,LARCENY-NON VEHICLE,Custer/McDonough/Guice,33.71478,-84.35014,2017-09-13 19:18:00
172581995,546 MAIN ST NE,Evening Watch,7,LARCENY-NON VEHICLE,Lindbergh/Morosgo,33.82275,-84.36864,2017-09-15 17:47:00
172571383,2525 PIEDMONT RD. NE,Day Watch,24,LARCENY-NON VEHICLE,Lindbergh/Morosgo,33.824,-84.36521,2017-09-14 12:33:00
172580581,198 PONCE DE LEON AVE NE,Day Watch,18,LARCENY-FROM VEHICLE,Midtown,33.77263,-84.38099,2017-09-15 06:45:00
172580680,857 COLLIER RD NW,Day Watch,99,LARCENY-FROM VEHICLE,Wildwood (NPU-C),33.810359999999996,-84.41606,2017-09-14 06:00:00
172580850,1423 HARTFORD AVE SW,Morning Watch,20,LARCENY-FROM VEHICLE,Capitol View,33.715990000000005,-84.41734,2017-09-14 21:00:00
172580900,2852 CASCADE RD SW @CASCADE SPRINGS NATU,Day Watch,18,LARCENY-FROM VEHICLE,Cascade Heights,33.71955,-84.48012,2017-09-15 09:00:00
172581016,382 TRABERT AVE NW,Day Watch,29,LARCENY-FROM VEHICLE,Loring Heights,33.79441,-84.40044,2017-09-15 07:45:00
172581075,833 KIPLING DR NW,Day Watch,13,LARCENY-FROM VEHICLE,Wildwood (NPU-C),33.813629999999996,-84.4151,2017-09-15 10:40:00
172581226,2973 HEADLAND DR SW,Day Watch,18,LARCENY-FROM VEHICLE,Greenbriar,33.69168,-84.4872,2017-09-15 11:43:00
172581344,3800 PRINCETON LAKES PKWY SW,Day Watch,18,LARCENY-FROM VEHICLE,Princeton Lakes,33.65635,-84.51326999999999,2017-09-15 12:30:00
172581506,3870 REDWINE ROAD SW,Evening Watch,18,LARCENY-FROM VEHICLE,Princeton Lakes,33.659909999999996,-84.51074,2017-09-15 14:00:00
172581628,3440 BOULDER PARK DR SW,Evening Watch,26,LARCENY-FROM VEHICLE,Mays,33.750040000000006,-84.50063,2017-09-15 00:00:00
172581790,135 W WIEUCA RD NE,Evening Watch,18,LARCENY-FROM VEHICLE,East Chastain Park,33.8774,-84.38235,2017-09-15 12:00:00
172581829,101 MARIETTA ST NW ,Evening Watch,18,LARCENY-FROM VEHICLE,Downtown,33.75708,-84.39185,2017-09-15 09:00:00
172582302,400 MERRITTS AVE NE @CENTRAL PARK,Evening Watch,18,LARCENY-FROM VEHICLE,Old Fourth Ward,33.76898,-84.37619000000001,2017-09-15 18:40:00
172582344,2410 BENJAMIN E MAYS DR SW,Evening Watch,18,LARCENY-FROM VEHICLE,Cascade Heights,33.72262,-84.46641,2017-09-15 19:05:00
172582361,2333 PEACHTREE RD,Evening Watch,18,LARCENY-FROM VEHICLE,Peachtree Hills,33.81864,-84.38865,2017-09-15 14:00:00
172582519,510 PIEDMONT AVE NE,Evening Watch,13,LARCENY-FROM VEHICLE,Downtown,33.76851,-84.38219000000001,2017-09-15 21:00:00
172582626,496 WOODWARD AVE SE,Morning Watch,13,LARCENY-FROM VEHICLE,Grant Park,33.7456,-84.37106999999999,2017-09-15 21:30:00
172582643,1030 EUCLID AVE NE,Morning Watch,13,LARCENY-FROM VEHICLE,Inman Park,33.76189,-84.35391,2017-09-15 20:30:00
172582649,1782 CHESHIRE BRIDGE RD NE,Morning Watch,99,LARCENY-FROM VEHICLE,Morningside/Lenox Park,33.80814,-84.36397,2017-09-15 21:00:00
172582690,1750 COMMERCE DR NW,Unknown,18,LARCENY-FROM VEHICLE,Berkeley Park,33.80285,-84.41169000000001,2017-09-15 22:49:00
172590098,718 ARGONNE AVE NE,Evening Watch,13,LARCENY-FROM VEHICLE,Midtown,33.77422,-84.37795,2017-09-15 20:30:00
172590137,806 MARIETTA ST NW,Evening Watch,18,LARCENY-FROM VEHICLE,Marietta Street Artery,33.77409,-84.40601,2017-09-15 22:00:00
172590142,587 VIRGINIA AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,Midtown,33.78063,-84.36828,2017-09-15 20:45:00
172590210,349 DECATUR ST SE,Morning Watch,18,LARCENY-FROM VEHICLE,Sweet Auburn,33.74993,-84.37706,2017-09-16 00:30:00
